2	1.55028149372e+12	2.48214507877e+12	2.84792217992e+12	
4	1.69270571113e+12	2.13460768067e+12	2.1015692e+12	
6	1.55148931948e+12	1.67336687521e+12	1.62131275291e+12	
8	1.47546509716e+12	1.36380840061e+12	1.28236156674e+12	
10	1.2689423845e+12	1.22700075066e+12	5.26360723322e+12	
12	1.1434625517e+12	1.02686189543e+12	4.41638626486e+12	
14	1.00054017433e+12	4.59503506662e+12	3.78858628122e+12	
16	978091162717.0	4.01178168597e+12	3.30782642479e+12	
18	912741288130.0	3.56796412234e+12	2.96961462257e+12	
20	846061018989.0	3.22852714203e+12	2.68363938815e+12	
