2	46780.0124861	49626.9932853	51712.9218833
4	34159.6102667	35201.8180766	36264.1023383
6	27492.9248813	28560.3579446	29988.4416294
8	24999.4883372	25135.9745129	28236.2442748
10	22371.1933126	23069.0140271	26289.8716083
12	19978.7220411	20897.2304836	23659.2791801
14	17071.1212502	19543.8163319	22363.1561243
16	15994.0794178	17428.1231216	20737.2524769
18	15823.6709288	16742.3266717	19650.705275
20	14345.4867357	15874.043772	18374.3108139
