2	43950.9447746	47808.9963485	49714.611361	
4	32682.0134089	36380.3149319	35295.5038074	
6	28975.6592493	28464.2026638	28620.6628834	
8	26179.7715404	25381.7121578	25211.5368642	
10	21805.4415612	21702.1130106	23149.3195867	
12	20274.0671688	20325.8777294	20932.0140013	
14	19492.2688108	20076.9537037	19604.6031978	
16	16566.6455114	17568.402377	17502.8624802	
18	16735.57411	16917.4449498	16798.4832894	
20	15722.9576017	15497.6200096	15914.3758031	
