2	0.0251394159859	0.0229618536585	0.0234775988881	0.0232859794878	0.0229611859315	0.022813441755	0.0226580388217	0.0228134589523	0.0233841452852	0.0236021487799	0.0237216407543	0.0235590022483	
4	0.0147543490465	0.016149239983	0.015666633967	0.0156609965849	0.0162987658054	0.0166792653685	0.0162860018156	0.0161023484744	0.0164374068335	0.016554380925	0.0164707184299	0.0162824061383	
6	0.0149641213461	0.0144507723022	0.014777504004	0.0147759212384	0.0139851674965	0.0141850820132	0.0141232716603	0.0138620718763	0.0136253274365	0.0135096269547	0.0137553648665	0.0136244689269	
8	0.0136675274778	0.0119706315115	0.0124406786941	0.0117564845318	0.0122871345975	0.0120015260621	0.0118863703172	0.0119050152077	0.0118658172586	0.0117205384415	0.0117718011438	0.0116585387288	
10	0.0118628707724	0.011187302193	0.0106312330327	0.0107950804967	0.0103928249652	0.0102972761163	0.0104526432303	0.0102419270359	0.01021972656	0.0100476843055	0.0100025642475	0.00987948619155	
12	0.00969581853819	0.0100296493758	0.00947117921167	0.00941378973052	0.00928745751742	0.00938292077688	0.00941684929219	0.00930341793726	0.00922895355622	0.00910111532005	0.00908619056097	0.0091051243322	
14	0.0104409362353	0.00989180775842	0.00952223920605	0.00912977610543	0.00925839252403	0.00902149801352	0.00880904366789	0.00861611711599	0.00852225928967	0.00852803622677	0.00848640780601	0.00842612674534	
16	0.00896294593192	0.00838308971598	0.00818719057836	0.00831889040111	0.00823022261912	0.00823991063445	0.00810492685691	0.00806632912763	0.00806594051612	0.00816853239049	0.00813160322728	0.00807130691128	
18	0.0100490867921	0.00883952172463	0.00853741392019	0.00832418075087	0.00793720088678	0.00781567910726	0.0077297438976	0.00760825381337	0.00757665094798	0.00749862462396	0.00746219063628	0.00744904617363	
20	0.0087099208923	0.00810577305076	0.00779075095787	0.00760195293457	0.00739473047505	0.00715811217684	0.00709985540071	0.00722975205468	0.00719050621824	0.00718796600006	0.00715610778856	0.00711748325232	
