73.0	71.52
1015.0	408.16
2020.0	2015.0
2048.0	2047.0
2064.0	2062.0
2078.0	2075.12
2094.0	2088.0
2114.0	2103.0
2148.0	2124.68
2223.0	2168.2
2448.0	2273.88
4009.0	2582.4
6880.0	5091.64
9384.0	7512.12
11224.0	10166.8
14678.0	11578.04
20022.0	15667.72
22033.0	21086.08
22073.0	22059.76
22108.0	22094.4
22208.0	22154.92
22967.0	22641.28
26977.0	26157.64
30712.0	30093.76
33799.0	32512.0
35511.0	35129.52
38477.0	36798.72
42004.0	40286.48
42082.0	42064.08
42120.0	42100.2
42229.0	42146.12
43196.0	42297.0
45968.0	43918.2
49434.0	46791.72
51682.0	49983.6
57317.0	53103.32
60053.0	58680.84
61183.0	60441.84
62107.0	62057.4
62290.0	62139.8
64042.0	62610.56
69853.0	66004.24
79012.0	72805.16
82146.0	82073.52
84661.0	82753.0
88531.0	86860.12
93086.0	91038.12
100699.0	97707.8
102504.0	102166.92
112066.0	106687.0
119150.0	118121.92
121514.0	120915.04
122931.0	122183.92
129188.0	126559.2
138999.0	133939.2
142511.0	140755.64
156216.0	148016.28
163116.0	161871.44
180175.0	166234.88
188643.0	182240.2
200412.0	197683.52
203250.0	202246.2
220075.0	210873.32
235883.0	227381.72
242460.0	242137.6
254781.0	245675.08
271653.0	258361.64
282300.0	280429.04
290629.0	282608.8
309740.0	294660.2
323488.0	316798.0
338693.0	326815.64
355622.0	341220.64
372970.0	362011.92
395047.0	380398.0
420750.0	403924.96
452644.0	431382.48
484941.0	461896.8
522992.0	500052.16
560855.0	538879.0
594602.0	573444.92
621325.0	610144.0
654149.0	632726.64
701324.0	670123.0
766738.0	720972.4
860491.0	796638.36
977972.0	902880.08
1107943.0	1030123.84
1224728.0	1161463.32
1331811.0	1274744.6
1422224.0	1378955.52
1522189.0	1468518.16
1723294.0	1628436.76
2001863.0	1858528.92
2332291.0	2221743.0
2600948.0	2521801.8
2942348.0	2861125.52
3594949.0	3461121.12
5317786.0	5145540.32
