Bootstraps,Error
5,90.45254848387779
6,93.40663631629681
7,88.93599750953967
8,87.7045233443923
9,88.1058448422835
10,89.80376602819092
11,87.65853379911876
12,87.85604744197666
13,86.03439734836482
14,87.80127730541157
15,84.2702238022175
16,85.46223231336653
17,84.48270178385785
18,83.45059054638791
19,85.9539712711466
20,84.64348971939062
21,82.81381339223266
22,84.5673821074976
23,85.37565879281482
24,83.3874291343106
25,84.01553354014014
26,86.71747613659629
27,81.7710856312173
28,82.83434466869319
29,87.72425510667276
30,86.18546667911043
31,82.70206023176202
32,82.83159516434962
33,82.32033828819006
34,85.4281288188452
35,81.1020996205843
36,84.19474628746332
37,81.82149809689878
38,81.62575698207671
39,84.73673531428831
40,87.0534406320653
41,81.35094900532391
42,81.3933712931183
43,85.86707854850363
44,82.00794012833292
45,82.775164182007
46,84.24998101398175
47,80.94499550548343
48,80.89817939765443
49,83.73543597823135
50,84.91077926096015
51,83.93019212414075
52,84.19836901981004
53,83.9726411040984
54,84.41321339742287
55,81.47424051357707
56,81.89617118685956
57,84.28217302718912
58,81.59181295883776
59,82.40123721458127
60,80.08375249621935
61,83.27680228833303
62,85.06144232612615
63,81.09558983291195
64,82.0324353851844
65,82.27296287276961
66,83.06605375102477
67,85.00042802667302
68,83.5633406593188
69,82.15978925084508
70,82.68123846587946
71,81.84500446051565
72,83.45458731631855
73,80.45026476647709
74,82.54758305352975
75,81.18559997344046
76,84.44806404044587
77,83.80703000173021
78,83.96867961472718
79,85.45557477691784
80,83.45892935801888
81,84.41649941775474
82,85.98748765470265
83,81.44972090343977
84,85.73520959816875
85,83.19236051080196
86,84.78092851647548
87,84.70698135977979
88,83.21497291768121
89,77.65515136979593
90,85.76743877636129
91,81.89296099347932
92,82.38360177847542
93,81.1174937169954
94,85.40864685954823
95,80.865225691433
96,78.83345318913
97,82.30357359265454
98,85.79727370455578
99,84.1839398697343
100,81.43780234661364
101,80.09944766859046
102,83.03837167424945
103,82.2459885501265
104,82.34610457202227
105,82.82530834724268
106,82.51799034987894
107,83.12955092836576
108,78.71577692900088
109,85.34927916534488
110,82.6084213177758
111,81.31174511488717
112,84.0897361701725
113,80.95438188786757
114,81.72738453577948
115,81.99219651515759
116,80.40171030696028
117,81.26691125729674
118,84.55134120061244
119,80.46225917177506
120,84.53801896211534
121,79.74400545891483
122,83.42458912557285
123,80.92878894434044
124,79.86869904983595
125,83.96529953411263
126,81.02670380515809
127,78.58721114810568
128,83.49236028183783
129,80.98301518245594
130,82.67951916143997
131,82.29464096641082
132,84.45097747924545
133,83.41814085226854
134,80.85558750997123
135,81.88611393884901
136,82.18545838518733
137,83.60141834111005
138,85.85307759804134
139,81.84178402623894
140,82.75329212635441
141,84.95421052460604
142,85.41714655879092
143,81.44069231252412
144,78.48014759265348
145,81.57664879358671
146,83.64085054554714
147,85.71945815264978
148,80.18085032485516
149,81.90453864363187
150,82.15119132688895
151,84.1963585094704
152,80.41719801137644
153,82.54713479051877
154,84.73607063893157
155,84.22059422870073
156,84.66431390400501
157,84.71103367109725
158,83.7528716626508
159,83.24857816624845
160,78.93583381260937
161,86.13494157703698
162,81.73759176343735
163,84.30746511858753
164,82.94022802929393
165,81.59896858799287
166,80.49083864108538
167,83.25926641440608
168,78.20109440742289
169,81.15204629572472
170,82.02562704885639
171,85.13546386473442
172,79.02690402661999
173,84.23845042302466
174,81.6174953531066
175,86.02239891616874
176,83.71595760085306
177,80.55380649204596
178,83.61445663089107
179,85.14992978316506
180,81.4740921344104
181,81.29897014333947
182,82.17797685740726
183,82.82137275519436
184,79.81458141702484
185,83.87641784689605
186,83.73365739281215
187,86.30986011375784
188,81.62342897186352
189,82.76285338100277
190,79.86605067245897
191,82.97771420920753
192,81.25356521036761
193,83.25959447086376
194,80.61880580744912
195,84.24877516353448
196,81.74898992752703
197,86.48079774262916
198,81.53457129350994
199,83.34519315728852
200,83.40251773157735
201,86.4600866448443
202,80.02906972697757
203,84.75230558435855
204,81.71482288070172
205,84.18907618860825
206,80.4335075210851
207,82.24337459916033
208,83.82160622545514
209,82.60349442763774
210,81.62071280098807
211,83.83602732877513
212,84.30237756161029
213,83.21742897301863
214,83.52797083196647
215,82.91515325601414
216,81.59295954216464
217,83.78830752549457
218,80.39087807131746
219,83.16762219224968
220,82.46105375242867
221,80.78840124311195
222,83.67324358346853
223,82.55872348378632
224,85.33320204311303
225,81.38583730424516
226,83.18034937599388
227,81.41227867249884
228,86.24060751617921
229,84.78315586694717
230,86.14623036238898
231,83.94759199003357
232,82.33717459885344
233,84.03362072827007
234,80.09216133562474
235,79.61462039829485
236,85.65304670939564
237,82.62492226069546
238,84.0671753786458
239,82.53816665731227
240,84.20357465253255
241,84.3118342606604
242,80.4462029496163
243,81.38516086712526
244,85.51852346635826
245,84.31876458513904
246,81.77662046633746
247,82.55816715148076
248,83.95529538919288
249,84.00038287224466
250,85.7115899638207
251,83.31967523622258
252,82.98270863695403
253,80.71149815863247
254,86.60887799932611
255,84.38254973862868
256,87.15464567151545
257,85.32463770092906
258,81.88633532166084
259,85.48025762104646
260,84.15670286682406
261,77.79656876274781
262,80.72256969908769
263,83.4824969709627
264,80.08827237411249
265,81.97550130460903
266,78.69450040559056
267,81.21500400387576
268,81.60993454298568
269,85.39476831738816
270,83.48533116788133
271,84.4612929975434
272,80.03654347634628
273,83.17299031115222
274,82.71524665926229
275,82.33051701644776
276,84.35059292903722
277,82.13605295679727
278,78.3965170550738
279,80.33603320710223
280,82.1121032745746
281,83.11969228235317
282,85.019522811827
283,83.80281232124541
284,80.27630348733183
285,79.44988143107325
286,84.18371918255595
287,80.86714718414564
288,83.47685708634185
289,84.37928063928453
290,82.63532309406249
291,86.24478938983336
292,79.90532887388197
293,83.27846778063049
294,83.31206007638362
295,83.0308091561665
296,82.64431237328625
297,85.22770988398943
298,79.5902467178969
299,86.35505345410095
300,83.71456987342766
301,84.44557512435664
302,81.53483590808926
303,81.76120295437057
304,82.90707395779425
305,84.63808064124724
306,82.86937454329681
307,83.95212060879904
308,80.18643563329498
309,82.44295908998083
310,83.9481801283738
311,82.39450764395946
312,83.69069046437298
313,82.95657533296463
314,81.97410350589526
315,86.03544694010405
316,83.85933671030043
317,86.65001494846719
318,79.91123746304885
319,80.5702167199221
320,84.60628046676217
321,80.79452798636103
322,81.68551948007165
323,79.57818864804425
324,83.87588348875393
325,85.79045360231932
326,83.72072057815261
327,87.1622024246902
328,84.77196761968978
329,84.92479629918677
330,81.74200634505694
331,87.91055083447907
332,86.56718515715069
333,82.70959305066758
334,83.30804372098224
335,81.45240161464247
336,81.65693019887365
337,81.06823590658065
338,81.21534262010081
339,82.49837121823815
340,81.40937885936658
341,80.99024101968321
342,84.10234498555214
343,81.59467757431005
344,79.26570564570112
345,84.55898323194405
346,81.27556415369605
347,82.64386553269657
348,86.73642431388166
349,81.42187989604247
350,83.16328113207909
351,81.35431614866127
352,82.55068106150415
353,80.84176550468288
354,84.48385250426989
355,81.39574491173781
356,83.83232172608771
357,84.9458716248662
358,83.4034758524975
359,79.17411286052204
360,82.53610217370962
361,85.29966885040153
362,80.59824628846708
363,82.31517675780272
364,83.55640505993297
365,81.85488246430106
366,84.68470150191344
367,80.46633571935206
368,86.22314931388942
369,81.46524704641703
370,83.56119364077821
371,83.71620011623749
372,83.41575538751654
373,81.45326658904139
374,80.14983320153918
375,84.74367968652443
376,87.10740525394566
377,80.60649815551803
378,82.64564117879294
379,81.93134921890055
380,80.91566120650337
381,86.09294794544554
382,80.58266912508435
383,79.57202917648716
384,78.70924902959072
385,82.29575331065988
386,79.70780905054521
387,79.28013201085189
388,82.35137889422528
389,78.82003099013885
390,81.11010114227662
391,78.58175665289964
392,83.3915661150187
393,82.6717194486287
394,80.41932675422137
395,84.62449950796612
396,83.18110354788774
397,83.32908069843008
398,82.5240881823255
399,82.5104574661058
400,84.48038756376823
401,82.31931842704714
402,84.46407411789592
403,84.25708265048944
404,82.09118354684266
405,84.22710908989785
406,84.97522319026064
407,82.08119389832616
408,80.4925299316051
409,83.74144627186622
410,82.15437280554025
411,82.76079503164634
412,83.63317861568665
413,85.2828768131573
414,81.96878554246362
415,83.03452109277212
416,81.09898897852173
417,80.16694623045449
418,80.57971538292115
419,83.20541699779456
420,82.3269824856096
421,79.79608033175089
422,80.28728955262193
423,82.67739973163607
424,81.98616880275235
425,83.71779149567949
426,81.84124995063414
427,81.07730798791182
428,82.62295792871335
429,81.76587590552991
430,81.17594818433797
431,80.64640849998361
432,84.26997831918817
433,85.35037346244451
434,79.03890032498813
435,84.93441457188388
436,82.16658730745549
437,81.21715713948721
438,83.97246027437976
439,84.42754231281437
440,86.28333866645997
441,83.8903161707868
442,82.51404016573977
443,81.83772325352989
444,88.63790470015103
445,81.39659595113307
446,84.28468565096819
447,80.36505649908518
448,83.57188417394772
449,77.63404896156072
450,79.36355636336145
451,84.26661345295503
452,81.59598041652806
453,82.10242784930797
454,80.1757294832967
455,87.24639858561893
456,83.90049531380622
457,80.08923791613783
458,85.36286668273317
459,80.69975944398738
460,86.07419440958135
461,84.03577723584002
462,83.2292441942842
463,84.46850449199178
464,81.58353247749734
465,82.94721583249233
466,82.08535333754642
467,80.74370972806936
468,83.35553573084637
469,84.88665391943861
470,82.77903481524804
471,82.20944746350784
472,84.61551206938785
473,84.16437925734316
474,84.21820228278976
475,83.22912417401609
476,85.08644723086577
477,82.60836733502217
478,85.05122606790415
479,85.0669786855757
480,83.14600553562884
481,84.22980078777442
482,81.1707361699294
483,85.90709560939105
484,81.50540608422875
485,83.74767597445202
486,80.01265822004916
487,82.98031341757454
488,82.83140047720346
489,81.65884194328088
490,85.10526194364148
491,83.01180515388303
492,83.56798351052565
493,83.98546578880013
494,82.76068181212885
495,84.11019121276092
496,81.3985866650506
497,76.87497140308967
498,84.61566701988333
499,80.75741396825792
500,83.36798434140543
501,83.56575945653611
502,76.86621622636272
503,81.40174344330646
504,81.60650716525066
505,83.53559370085411
506,82.1295424488796
507,82.00870732060898
508,80.14900091136981
509,82.91744816037993
510,82.76204285185845
511,80.8183685293255
512,84.1037647188206
513,85.16213940269431
514,81.83901128991276
515,82.7369586496204
516,82.70808867279747
517,82.34364111292902
518,80.34321137613597
519,83.2691131881646
520,82.20560629419758
521,82.81467936819682
522,82.08237191370243
523,83.80976997497551
524,86.47948611196321
525,82.27795322392828
526,81.71128790492459
527,82.58653734662414
528,81.54028096374319
529,83.59967304638069
530,85.93570671550384
531,80.67969580841279
532,82.12062230862327
533,82.1728116703118
534,78.55801031747387
535,80.91795424857816
536,85.85488646088355
537,82.73436454962399
538,84.7588821509239
539,83.03398073781057
540,81.29105070792245
541,80.76172028175627
542,81.10885589870529
543,81.37470509828417
544,81.57773513918976
545,80.85643974992004
546,81.92722676512841
547,81.80889882831804
548,82.1633824723152
549,84.1923172888984
550,81.64320981779456
551,82.76838119016675
552,85.74549615338516
553,82.74580168230364
554,80.65347076331086
555,86.39871111197988
556,82.10334442890309
557,82.12003333225681
558,84.1603500764873
559,83.85328382486006
560,84.00719655788623
561,85.06347676183714
562,78.90764645993988
563,79.80264877165766
