Samples,Time
10,200.23167755090418
20,143.5804179523371
30,118.08637853348304
40,99.31071403611479
50,93.33723922609607
60,82.2572355413528
70,75.40601268819026
80,73.47816390589652
90,67.80668723362605
100,61.28303246948311
110,60.7186110086083
120,61.61901899289343
130,61.10605359527522
140,54.89383665095366
150,53.97307626963451
160,49.3796610991086
170,50.4431553793286
180,49.69624847491915
190,44.88442111507199
200,45.222180346415485
210,42.1628582370476
220,42.16936342909089
230,42.31417679945133
240,42.4788385527302
250,39.80183839237864
260,39.05396247738338
270,37.96261240840564
280,40.08413453030067
290,36.074219222789885
300,38.19590526245482
310,37.42412286685161
320,35.74508552245201
330,34.81844879459159
340,34.58738453790688
350,33.903000068469126
360,33.54354926519459
370,33.416422333303224
380,33.09016352926657
390,31.07676490759256
400,32.205528074723496
410,32.4910231541633
420,32.32306312297731
430,30.650675703369618
440,30.515235086260375
450,29.344694507192134
460,31.3298748949749
470,29.742849485944568
480,28.943077465029052
490,28.657015876751
500,29.691360555697027
510,28.918023774983954
520,28.508198738285333
530,27.46106403667767
540,27.25778618077966
550,26.45628016922835
560,26.150665303791875
570,26.597642785781755
580,26.642185359938242
590,26.700731856874228
600,25.96804016048335
610,26.123373186880105
620,24.747470152079224
630,25.731646157216126
640,24.92534768700371
650,24.286838393653618
660,24.581911928683322
670,24.97731337636694
680,25.421356059417004
690,23.712266774953896
700,24.957983796766015
710,24.02043617145979
720,23.253279395647663
730,23.367851893536415
740,23.740783837973172
750,23.359658971345276
760,23.651269252586665
770,23.442520725445632
780,23.23312604444251
790,23.14963611169079
800,22.962815208469145
810,22.7536270442679
820,23.16426931418844
830,21.716437544938906
840,21.561573631459936
850,22.575751988375778
860,21.499417383030238
870,22.66929888622199
880,21.42714665730136
890,21.04763995515392
900,21.16303228283891
910,21.47499534479514
920,21.247873279528903
930,21.1609559579007
940,20.278109856494602
950,21.108073980295426
960,21.320723557537086
970,20.485226179050873
980,20.636690036013654
990,20.71198798741036
1000,19.882155257644495
1010,20.689014921449907
1020,20.200591053907246
1030,20.2023831273128
1040,19.32841239779667
1050,20.019102214878487
1060,19.4637536716596
1070,18.70619905820907
1080,20.081064158669264
1090,19.02886092735446
1100,19.100975430599913
1110,18.781343876740827
1120,18.929180217994897
1130,19.323733876788324
1140,19.809271751823253
1150,17.860531623261373
1160,19.612444828423513
1170,18.363016235935625
1180,19.338755602011858
1190,17.604868449493246
1200,19.32537848334261
1210,18.651084176840776
1220,19.03766156491921
1230,18.243313384928168
1240,18.557082818448126
1250,18.48765199588162
1260,19.042819245330243
1270,18.255767572384492
1280,17.518741196121365
1290,17.651592221779474
1300,18.471258589918744
1310,18.374741248063422
1320,17.3838737335051
1330,17.52226458004372
1340,17.213150754354828
1350,17.930643105444517
1360,17.061814028568033
1370,17.672515978669885
1380,16.415158653607822
1390,17.575963551317088
1400,17.243624985076934
1410,16.438471388149605
1420,16.492544780788354
1430,16.715554044099193
1440,16.257462942693262
1450,16.700214281376756
1460,16.64334074756659
1470,16.98694119024882
1480,16.550532372095372
1490,16.31074965100704
1500,17.11671824636728
1510,16.652613653532697
1520,16.46285502423793
1530,15.916733673315747
1540,16.365033675135948
1550,16.741053886543718
1560,16.251530439823526
1570,16.146003589709412
1580,16.20267849653485
1590,15.473579025658385
1600,15.585354883092839
1610,15.932160358791304
1620,16.207795061406745
1630,15.682687522626823
1640,15.543700427280452
1650,15.76397692503472
1660,15.542084527808582
1670,15.560540285836645
1680,15.522254965693634
1690,15.659698717709697
1700,15.57911047434421
1710,15.39649841832391
1720,15.648716851981082
1730,15.403828219421978
1740,15.788263971184566
1750,15.1729298399937
1760,14.661578860162708
1770,15.368448422739666
1780,15.166630383526364
1790,15.57793294053262
