bootstraps,time,original,computed,difference
4302,2.0723761745949998E9,3.8602723662557445,3.860230531312372,1.083730353803979E-5
4402,2.1204647535679998E9,3.8602723662557445,3.8599491108663297,8.373901081190826E-5
4502,2.168656714211E9,3.8602723662557445,3.8597207091941548,1.429062535618049E-4
4602,2.216802266961001E9,3.8602723662557445,3.8594657422974223,2.089551932587045E-4
4702,2.264971091196004E9,3.8602723662557445,3.8594827624394457,2.045461411482637E-4
4802,2.313124372523998E9,3.8602723662557445,3.859544659048099,1.8851188170215485E-4
4902,2.361310750424997E9,3.8602723662557445,3.859646490073423,1.6213264840914555E-4
5002,2.4094406640440016E9,3.8602723662557445,3.859449473141165,2.131697031983434E-4
5102,2.4575864235269985E9,3.8602723662557445,3.859434111313512,2.1714917049897556E-4
5202,2.505772546636999E9,3.8602723662557445,3.85907419582542,3.10384946098172E-4
5302,2.5539616105770035E9,3.8602723662557445,3.8590642638763555,3.129578083530045E-4
5402,2.602123422915997E9,3.8602723662557445,3.859137057223384,2.941007588699983E-4
5502,2.650310106410996E9,3.8602723662557445,3.859000430006728,3.294939134697037E-4
5602,2.698439115231001E9,3.8602723662557445,3.858979195187106,3.349947739290377E-4
5702,2.746614411436999E9,3.8602723662557445,3.859129700030801,2.9600663283035027E-4
5802,2.794758904088E9,3.8602723662557445,3.8589902452963782,3.321322533026068E-4
5902,2.842961294310003E9,3.8602723662557445,3.859016787609411,3.252564915649631E-4
6002,2.891143984592999E9,3.8602723662557445,3.8588473142469795,3.6915840996662767E-4
6102,2.939316964967002E9,3.8602723662557445,3.858728288969665,3.999917983967073E-4
6202,2.987518761566002E9,3.8602723662557445,3.858837149157622,3.7179166699952994E-4
6302,3.035746582760001E9,3.8602723662557445,3.859011956256806,3.265080490061757E-4
6402,3.0839378329370008E9,3.8602723662557445,3.8590421952522984,3.1867466508311013E-4
6502,3.1320753778669972E9,3.8602723662557445,3.858994531349623,3.3102195515830274E-4
6602,3.1802651890740027E9,3.8602723662557445,3.859292125391129,2.5393049288031136E-4
6702,3.228499244190002E9,3.8602723662557445,3.8594351682920824,2.1687536117409847E-4
6802,3.276666548755996E9,3.8602723662557445,3.8597690025781186,1.3039589693878773E-4
6902,3.324864212209999E9,3.8602723662557445,3.8597715939751276,1.2972459793107264E-4
7002,3.373012760546003E9,3.8602723662557445,3.8599200685112494,9.126240613868884E-5
7102,3.4212165252349997E9,3.8602723662557445,3.859932146893321,8.813351239082087E-5
7202,3.4694589669680014E9,3.8602723662557445,3.860017752416982,6.595748035505191E-5
7302,3.5176394274889994E9,3.8602723662557445,3.859894765842593,9.781703914269214E-5
7402,3.565850505803002E9,3.8602723662557445,3.8598080170166997,1.2028924256844813E-4
7502,3.614061073220999E9,3.8602723662557445,3.8598465404533093,1.1030978180647087E-4
7602,3.662218578918001E9,3.8602723662557445,3.859780739988569,1.273553315753583E-4
7702,3.7103843067920012E9,3.8602723662557445,3.859801210057407,1.2205257910194605E-4
7802,3.758556164377998E9,3.8602723662557445,3.8596519139763985,1.6072759134036054E-4
7902,3.8067325210589995E9,3.8602723662557445,3.859681456862674,1.5307453386861496E-4
8002,3.854935199326001E9,3.8602723662557445,3.8596953878077302,1.4946573538642197E-4
8102,3.9031106910889983E9,3.8602723662557445,3.8596990620168143,1.485139349082458E-4
8202,3.951326933653002E9,3.8602723662557445,3.8597589892783426,1.3298983302048579E-4
8302,3.999484405318001E9,3.8602723662557445,3.8596936162847393,1.4992464678512357E-4
8402,4.047659487286001E9,3.8602723662557445,3.8597926223226215,1.2427722388623212E-4
8502,4.0958847470310035E9,3.8602723662557445,3.8597643879750057,1.3159130562375527E-4
8602,4.1440865966680017E9,3.8602723662557445,3.8598229493340455,1.164210395172184E-4
8702,4.192209891721999E9,3.8602723662557445,3.8599249462661684,8.999882822078739E-5
