bootstraps,time,original,computed,difference
2,1591405.9819999991,6.691246453220373,5.360179829033117,0.19892655777857918
102,5.023770125599994E7,6.691246453220373,6.670784340701597,0.003058041974963842
202,9.859398908199991E7,6.691246453220373,6.6862414395170715,7.4799422473708E-4
302,1.47105869575E8,6.691246453220373,6.686079919256539,7.721332639522618E-4
402,1.9523515626100004E8,6.691246453220373,6.694983679787878,5.58524722356721E-4
502,2.4331159013700008E8,6.691246453220373,6.698596447194419,0.0010984491492625223
602,2.915185301650003E8,6.691246453220373,6.69786912568781,9.897516873332395E-4
702,3.397445550209999E8,6.691246453220373,6.696796182648041,8.294014376046285E-4
802,3.876685915029998E8,6.691246453220373,6.697360837289917,9.137885014833975E-4
902,4.35554950849E8,6.691246453220373,6.695366554124186,6.157449038257789E-4
1002,4.8359475104199946E8,6.691246453220373,6.694338527188597,4.6210732033878784E-4
1102,5.315827571060002E8,6.691246453220373,6.692861261130921,2.4133140541715762E-4
1202,5.795166070849999E8,6.691246453220373,6.69292456100032,2.507915067362631E-4
1302,6.275182161169999E8,6.691246453220373,6.69123205884516,2.1512247849934824E-6
1402,6.75505643370999E8,6.691246453220373,6.691932317706204,1.0250175219612413E-4
1502,7.234923501540006E8,6.691246453220373,6.6918205039868335,8.579130517369979E-5
1602,7.71509798407E8,6.691246453220373,6.6922045736969515,1.4319013404708806E-4
1702,8.194931132279997E8,6.691246453220373,6.6907355403549555,7.63554098610992E-5
1802,8.674502361360011E8,6.691246453220373,6.690641548951162,9.040232988571834E-5
1902,9.153747469179997E8,6.691246453220373,6.690527153747273,1.0749857715278184E-4
2002,9.633495941710008E8,6.691246453220373,6.6903233774965996,1.3795273126264833E-4
2102,1.011362103465E9,6.691246453220373,6.690792953332289,6.777509859404648E-5
2202,1.059342345581E9,6.691246453220373,6.690723217838762,7.819699741572854E-5
2302,1.1073328047240014E9,6.691246453220373,6.691273969465376,4.112274924527492E-6
2402,1.1553133645320008E9,6.691246453220373,6.691210190430478,5.419437192749664E-6
2502,1.2032925817390003E9,6.691246453220373,6.691358107821394,1.668666694636229E-5
2602,1.2513236489210007E9,6.691246453220373,6.692328863469571,1.617651145815252E-4
2702,1.2993116315049999E9,6.691246453220373,6.692148246657154,1.347721150439718E-4
2802,1.3473160690029986E9,6.691246453220373,6.692293325056496,1.5645393477012245E-4
2902,1.3953218373540003E9,6.691246453220373,6.6914403364461466,2.897565156644715E-5
3002,1.4432731892720006E9,6.691246453220373,6.692101813540893,1.2783273288475463E-4
3102,1.4913198272689977E9,6.691246453220373,6.691431181532626,2.7607459020468274E-5
3202,1.5393012354600012E9,6.691246453220373,6.690846187896484,5.981924693513526E-5
3302,1.5873088805930002E9,6.691246453220373,6.690785084835291,6.895103749466458E-5
3402,1.6353367616519997E9,6.691246453220373,6.690618227960524,9.388762829778804E-5
3502,1.6833815226739998E9,6.691246453220373,6.690910236487306,5.024724995820859E-5
3602,1.7313777188720005E9,6.691246453220373,6.691676085559379,6.420811757721591E-5
3702,1.7793562726080024E9,6.691246453220373,6.692204404325479,1.4316482165221712E-4
3802,1.8273522344530008E9,6.691246453220373,6.69184294264751,8.91447402673055E-5
