Samples,Error
10,86136.12744692186
20,60580.49471766908
30,48536.607225065985
40,42221.45486919175
50,40139.83997152631
60,37535.49300493846
70,34881.89885417074
80,35525.97251667822
90,35197.35041953074
100,34200.15996515227
110,33673.34888505183
120,32396.497299094568
130,33961.625693317015
140,33961.7123956398
150,33335.14203387459
160,33607.37346481085
170,32205.184960566592
180,34150.7995568936
190,33423.539606984996
200,32901.879878030115
210,34267.75181558476
220,30790.57760657434
230,33390.07615021837
240,32420.928388664786
250,34129.14308830521
260,31547.398397112647
270,31931.838667894215
280,33795.01243792392
290,31742.905471930513
300,32446.154569934748
310,31228.87996320008
320,31929.95585488337
330,30991.722560642505
340,31459.097096487007
350,31876.748461334646
360,31270.81335694952
370,33429.684709168956
380,31659.620157326128
390,31305.23781718828
400,29704.235174697336
410,28075.16121399462
420,29229.88875406298
430,29158.89305695857
440,29341.499247787728
450,30823.51360960371
460,27802.93192598932
470,29064.121041449023
480,29748.001831119218
490,28774.26776171947
500,29050.528315591702
510,30583.122267444323
520,29228.156986731792
530,28195.307495226356
540,30133.6551604947
550,27804.159000855456
560,27607.77671869908
570,28973.099247005204
580,26942.68644417318
590,28677.597800561598
600,26062.654497530155
610,28200.15993697275
620,27845.605121179662
630,26859.99351030935
640,27312.82785922604
650,27501.202010581103
660,25213.65227579627
670,27102.76800667021
680,28978.583300961644
690,26447.453851815368
700,25765.183530928076
710,26826.680038154336
720,26294.889119178904
730,25277.599657612827
740,25696.464879338557
750,25266.99245776387
760,26018.022132410613
770,26621.012019161957
780,26078.547385892307
790,24268.584789458826
800,24245.01275346173
810,24701.39011570652
820,24756.507268857105
830,24793.51452115332
840,24307.57064550196
850,24433.367875117794
860,23924.898818154834
870,24993.573303362115
880,24742.173828458483
890,23538.885643761027
900,24511.340930911298
910,22589.244137046648
920,23910.19337611233
930,23185.478365380986
940,23953.84240604999
950,22226.828760501772
960,22995.40078401768
970,24040.93326933111
980,22546.339326546702
990,23151.779483082464
1000,22775.16499771918
1010,21439.91110736484
1020,22448.215426916344
1030,23166.765017706923
1040,23648.523108048055
1050,22399.352835775233
1060,23249.210075548588
1070,21637.719408002282
1080,23802.96590699988
1090,22070.812756753676
1100,22403.98796686488
1110,23540.45332507643
1120,20957.899688738806
1130,22052.346072851844
1140,22143.1324209096
1150,22376.434086405043
1160,22465.991898360426
1170,20065.26394852617
1180,20490.189562611267
1190,21250.44399621583
1200,20981.64219717485
1210,21851.186693256048
1220,20156.778748271117
1230,20090.4308631293
1240,21591.218899491745
1250,20339.29276647262
1260,21556.385473110728
1270,20682.253784876277
1280,20460.474561743795
1290,20975.90388100599
1300,20317.857856951563
1310,20260.516726093163
1320,20311.06639866367
1330,20867.163405210074
1340,20410.10771335629
1350,19329.79715768341
1360,19661.066330383655
1370,19947.264370537527
1380,19748.395587460604
1390,20082.258958090617
1400,18230.9921612404
1410,20041.074359438233
1420,19783.97536876651
1430,20846.249779928377
1440,18983.446334786076
1450,19583.756338616775
1460,19985.0680987055
1470,19399.875734191573
1480,18172.295337938445
1490,19287.753471411397
1500,19948.843512386666
1510,19144.7052699654
1520,18555.352705649148
1530,18340.80860511253
1540,18447.44573052296
1550,18566.664375621775
1560,18591.740834554246
1570,18968.656003854456
1580,17893.456186852804
1590,17016.562761498466
1600,17807.466584372636
