Samples,Error
10,23.370853537940445
20,20.45750968108545
30,20.18343167878203
40,20.593265377733005
50,20.121042938211485
60,19.70790776340535
70,19.145890146390105
80,19.6265482695144
90,19.579552219505388
100,19.17724823068559
110,19.39799756588018
120,20.350745865371298
130,19.322243706101155
140,19.54548905431594
150,18.793556558695325
160,19.097856087658876
170,19.06569912528333
180,18.960614979148595
190,18.204765344624366
200,18.31565009756235
210,19.208890534701275
220,18.966022283973295
230,18.86149187655749
240,18.420046941522372
250,19.635143784781327
260,18.6514511474231
270,18.705820026695022
280,18.429499109844553
290,18.790803857580805
300,18.445291757458435
310,18.591633393445473
320,18.93299398009461
330,18.81797349805697
340,19.175158003136115
350,18.301111341724376
360,18.13459119525499
370,18.421284483911734
380,18.077968770480044
390,17.931482822791413
400,18.379543280373344
410,18.158145290629363
420,17.802762058391828
430,17.98520036917749
440,18.12195153144919
450,17.595943603627653
460,17.48350260364431
470,17.34477168619331
480,19.08922535925243
490,18.105269749646233
500,17.925025303601686
510,17.903187052720515
520,18.64018241949189
530,17.837084063998493
540,18.046950476033487
550,17.201760231621726
560,17.610717779617726
570,17.082120003141554
580,17.231379670705888
590,16.687833877725893
600,17.013735843258566
610,17.028959320521242
620,17.407366921423485
630,16.82679814998963
640,17.193963149536312
650,17.364968407944247
660,17.39135613164948
670,16.79506441798947
680,17.034568289657305
690,16.20674981685353
700,16.497752176125022
710,17.61942056409748
720,16.844073336038097
730,16.456145539091132
740,16.04068786639115
750,16.138433744087088
760,16.229137927453884
770,16.793282040205078
780,15.924082363007235
790,15.39649201705225
800,16.590581626730454
810,16.494137824000475
820,16.67314515759495
830,16.062634051190624
840,16.34547015314487
850,16.02631950490587
860,16.264344908452095
870,15.876150075303787
880,15.330877373599975
890,15.394192254860391
900,16.049775251527333
910,15.507072299222344
920,15.806499364021908
930,16.015586369372766
940,15.888201297010252
950,15.51726104902645
960,15.829000967462342
970,16.06458516584891
980,15.95731215867976
990,15.849536980933683
1000,15.192567324521892
1010,15.653268798266696
1020,14.90270607710543
1030,15.349293013072666
1040,14.812136974303447
1050,14.670462214915247
1060,15.479163854896987
1070,14.820635167267223
1080,15.247806570325498
1090,14.989021059064381
1100,15.10718177891788
1110,15.208497687014543
1120,14.869678208531075
1130,14.979908367544091
1140,15.118687719165735
1150,15.560576816829158
1160,15.381048127379808
1170,14.516291043466612
1180,14.893765605145369
1190,14.704960344671425
1200,15.255115680649354
1210,14.904907379354043
1220,14.170920292513982
1230,14.105665067896727
1240,15.057059700172305
1250,14.281353490544099
1260,14.981652289907778
1270,14.475387359861996
1280,14.48686233370112
1290,14.851441386412196
1300,13.798740929489156
1310,13.916708544893174
1320,14.581577435173651
1330,14.635768614934845
1340,14.009269006392557
1350,14.221055306637934
1360,14.153370958607182
1370,14.38955402613717
1380,13.879271339549476
1390,14.69285922332192
1400,13.95772971899972
1410,14.369166132411438
1420,14.288143282692179
1430,14.18527835379166
1440,14.094528206698083
1450,13.95192216278012
1460,14.026303497213137
1470,13.423054558475567
1480,13.032583843787355
1490,13.645188357678173
1500,13.42466045323692
1510,14.417033037354468
1520,13.772722761091318
1530,13.723079597547006
1540,13.56806163589296
1550,13.981051599901804
1560,14.27173154064065
1570,13.777316142084567
1580,13.52474207922832
1590,13.585901034977184
1600,13.586648955931667
